,date,year,month,region,country,no_of_visitor_arrivals,decade,season
5842,1996-08-01,1996,8,Oceania,Australia,28349,90s,Southwest Monsoon (Jun-Sept)
5843,1996-08-01,1996,8,Oceania,New Zealand,6544,90s,Southwest Monsoon (Jun-Sept)
5845,1996-09-01,1996,9,Asia,Brunei,4597,90s,Southwest Monsoon (Jun-Sept)
5846,1996-09-01,1996,9,Asia,Indonesia,75232,90s,Southwest Monsoon (Jun-Sept)
5847,1996-09-01,1996,9,Asia,Malaysia,52026,90s,Southwest Monsoon (Jun-Sept)
5848,1996-09-01,1996,9,Asia,Philippines,12566,90s,Southwest Monsoon (Jun-Sept)
5849,1996-09-01,1996,9,Asia,Thailand,16500,90s,Southwest Monsoon (Jun-Sept)
5850,1996-09-01,1996,9,Asia,Vietnam,2350,90s,Southwest Monsoon (Jun-Sept)
5851,1996-09-01,1996,9,Asia,Japan,103706,90s,Southwest Monsoon (Jun-Sept)
5852,1996-09-01,1996,9,Asia,Hong Kong,18581,90s,Southwest Monsoon (Jun-Sept)
5853,1996-09-01,1996,9,Asia,"China, People's Republic Of",15127,90s,Southwest Monsoon (Jun-Sept)
5854,1996-09-01,1996,9,Asia,Taiwan,34036,90s,Southwest Monsoon (Jun-Sept)
5855,1996-09-01,1996,9,Asia,"Korea, Republic Of",19266,90s,Southwest Monsoon (Jun-Sept)
5856,1996-09-01,1996,9,Asia,India,15872,90s,Southwest Monsoon (Jun-Sept)
5857,1996-09-01,1996,9,Asia,Pakistan,3493,90s,Southwest Monsoon (Jun-Sept)
5858,1996-09-01,1996,9,Asia,"Sri Lanka, Republic Of",3575,90s,Southwest Monsoon (Jun-Sept)
5859,1996-09-01,1996,9,Asia,Saudi Arabia,1421,90s,Southwest Monsoon (Jun-Sept)
5860,1996-09-01,1996,9,Asia,Kuwait,243,90s,Southwest Monsoon (Jun-Sept)
5861,1996-09-01,1996,9,Asia,United Arab Emirates,1216,90s,Southwest Monsoon (Jun-Sept)
5862,1996-09-01,1996,9,Europe,United Kingdom,25320,90s,Southwest Monsoon (Jun-Sept)
5863,1996-09-01,1996,9,Europe,Germany,15133,90s,Southwest Monsoon (Jun-Sept)
5864,1996-09-01,1996,9,Europe,France,5680,90s,Southwest Monsoon (Jun-Sept)
5865,1996-09-01,1996,9,Europe,Italy,3482,90s,Southwest Monsoon (Jun-Sept)
5866,1996-09-01,1996,9,Europe,Netherlands,5786,90s,Southwest Monsoon (Jun-Sept)
5867,1996-09-01,1996,9,Europe,Greece,838,90s,Southwest Monsoon (Jun-Sept)
5868,1996-09-01,1996,9,Europe,Belgium-luxembourg,1692,90s,Southwest Monsoon (Jun-Sept)
