,date,year,month,decade,season,total_rainfall,rainy_days,daily_max_rainfall,mean_temp,mean_rh
209,1999-06-01,1999,6,90s,Southwest Monsoon (Jun-Sept),103.4,13,34.5,28.2,81.9
210,1999-07-01,1999,7,90s,Southwest Monsoon (Jun-Sept),225.4,11,51.4,27.8,82.7
211,1999-08-01,1999,8,90s,Southwest Monsoon (Jun-Sept),204.0,13,42.4,27.5,84.1
212,1999-09-01,1999,9,90s,Southwest Monsoon (Jun-Sept),125.9,13,41.5,27.9,81.7
213,1999-10-01,1999,10,90s,Inter-monsoon (Oct - Nov),205.0,20,32.8,27.2,84.6
214,1999-11-01,1999,11,90s,Inter-monsoon (Oct - Nov),241.5,19,39.0,27.3,84.4
215,1999-12-01,1999,12,90s,Northeast Monsoon (Dec-Feb),340.5,17,76.9,26.8,85.3
216,2000-01-01,2000,1,00s,Northeast Monsoon (Dec-Feb),275.2,14,127.6,26.3,86.9
217,2000-02-01,2000,2,00s,Northeast Monsoon (Dec-Feb),237.8,18,39.9,26.6,86.5
218,2000-03-01,2000,3,00s,Inter-monsoon (Mar-May),238.3,15,37.9,27.2,85.8
219,2000-04-01,2000,4,00s,Inter-monsoon (Mar-May),311.6,20,87.4,27.5,85.6
220,2000-05-01,2000,5,00s,Inter-monsoon (Mar-May),96.8,10,36.7,28.6,82.4
221,2000-06-01,2000,6,00s,Southwest Monsoon (Jun-Sept),157.5,16,41.7,27.6,84.3
222,2000-07-01,2000,7,00s,Southwest Monsoon (Jun-Sept),116.1,12,34.6,28.1,82.6
223,2000-08-01,2000,8,00s,Southwest Monsoon (Jun-Sept),113.5,18,28.1,27.5,83.8
224,2000-09-01,2000,9,00s,Southwest Monsoon (Jun-Sept),81.1,12,25.7,28.0,82.2
225,2000-10-01,2000,10,00s,Inter-monsoon (Oct - Nov),120.9,14,38.3,27.8,82.1
226,2000-11-01,2000,11,00s,Inter-monsoon (Oct - Nov),385.7,21,72.0,27.3,87.1
227,2000-12-01,2000,12,00s,Northeast Monsoon (Dec-Feb),236.0,18,45.8,27.0,87.6
228,2001-01-01,2001,1,00s,Northeast Monsoon (Dec-Feb),425.8,21,125.4,26.5,87.4
229,2001-02-01,2001,2,00s,Northeast Monsoon (Dec-Feb),86.6,11,28.2,27.0,83.6
230,2001-03-01,2001,3,00s,Inter-monsoon (Mar-May),297.3,20,41.1,27.5,84.5
231,2001-04-01,2001,4,00s,Inter-monsoon (Mar-May),203.3,18,68.9,27.7,86.0
232,2001-05-01,2001,5,00s,Inter-monsoon (Mar-May),164.9,12,56.1,28.5,85.0
233,2001-06-01,2001,6,00s,Southwest Monsoon (Jun-Sept),137.1,11,49.6,28.2,82.5
234,2001-07-01,2001,7,00s,Southwest Monsoon (Jun-Sept),111.3,9,44.8,28.4,80.8
235,2001-08-01,2001,8,00s,Southwest Monsoon (Jun-Sept),158.3,14,36.6,28.0,83.7
236,2001-09-01,2001,9,00s,Southwest Monsoon (Jun-Sept),162.0,13,74.3,28.0,82.3
237,2001-10-01,2001,10,00s,Inter-monsoon (Oct - Nov),252.2,20,77.2,27.6,83.7
238,2001-11-01,2001,11,00s,Inter-monsoon (Oct - Nov),175.3,15,102.6,27.2,84.9
239,2001-12-01,2001,12,00s,Northeast Monsoon (Dec-Feb),609.0,20,211.1,26.7,86.8
240,2002-01-01,2002,1,00s,Northeast Monsoon (Dec-Feb),221.2,11,83.8,27.0,83.6
241,2002-02-01,2002,2,00s,Northeast Monsoon (Dec-Feb),50.8,2,41.7,27.3,80.9
242,2002-03-01,2002,3,00s,Inter-monsoon (Mar-May),55.6,8,26.4,28.2,80.8
243,2002-04-01,2002,4,00s,Inter-monsoon (Mar-May),116.5,13,39.4,28.6,82.3
244,2002-05-01,2002,5,00s,Inter-monsoon (Mar-May),236.6,13,75.9,28.9,82.3
245,2002-06-01,2002,6,00s,Southwest Monsoon (Jun-Sept),83.1,12,45.8,28.7,82.1
246,2002-07-01,2002,7,00s,Southwest Monsoon (Jun-Sept),233.7,11,69.5,28.4,82.7
247,2002-08-01,2002,8,00s,Southwest Monsoon (Jun-Sept),54.2,14,17.8,28.5,79.2
248,2002-09-01,2002,9,00s,Southwest Monsoon (Jun-Sept),124.2,9,38.9,28.1,81.7
249,2002-10-01,2002,10,00s,Inter-monsoon (Oct - Nov),10.8,7,3.2,28.7,79.8
250,2002-11-01,2002,11,00s,Inter-monsoon (Oct - Nov),307.2,15,84.0,27.4,85.8
251,2002-12-01,2002,12,00s,Northeast Monsoon (Dec-Feb),255.0,24,38.6,27.2,88.7
252,2003-01-01,2003,1,00s,Northeast Monsoon (Dec-Feb),444.2,20,194.4,26.7,86.9
253,2003-02-01,2003,2,00s,Northeast Monsoon (Dec-Feb),172.9,13,82.2,27.1,85.0
254,2003-03-01,2003,3,00s,Inter-monsoon (Mar-May),154.6,11,38.3,28.1,83.8
255,2003-04-01,2003,4,00s,Inter-monsoon (Mar-May),159.9,20,42.9,27.9,86.7
256,2003-05-01,2003,5,00s,Inter-monsoon (Mar-May),81.8,11,33.0,29.2,81.7
257,2003-06-01,2003,6,00s,Southwest Monsoon (Jun-Sept),50.3,12,23.2,28.9,78.5
258,2003-07-01,2003,7,00s,Southwest Monsoon (Jun-Sept),170.4,14,30.9,28.1,81.7
259,2003-08-01,2003,8,00s,Southwest Monsoon (Jun-Sept),193.6,13,64.4,28.2,83.1
260,2003-09-01,2003,9,00s,Southwest Monsoon (Jun-Sept),205.3,15,60.0,27.6,84.8
261,2003-10-01,2003,10,00s,Inter-monsoon (Oct - Nov),351.4,21,56.6,27.6,84.9
262,2003-11-01,2003,11,00s,Inter-monsoon (Oct - Nov),133.8,19,41.3,27.1,87.3
263,2003-12-01,2003,12,00s,Northeast Monsoon (Dec-Feb),273.0,17,92.1,26.5,87.2
